panel,behavior,alpha,avg_score
fig2_before_clipping,corrigible-neutral-HHH,-1.3,-0.3613
fig2_before_clipping,corrigible-neutral-HHH,-1.2,-0.38
fig2_before_clipping,corrigible-neutral-HHH,-1.1,-0.32
fig2_before_clipping,corrigible-neutral-HHH,-1.0,-0.2789
fig2_before_clipping,corrigible-neutral-HHH,-0.9,-0.2089
fig2_before_clipping,corrigible-neutral-HHH,-0.8,-0.0188
fig2_before_clipping,corrigible-neutral-HHH,-0.7,0.245
fig2_before_clipping,corrigible-neutral-HHH,-0.6,0.835
fig2_before_clipping,corrigible-neutral-HHH,-0.5,1.8425
fig2_before_clipping,corrigible-neutral-HHH,-0.4,3.0138
fig2_before_clipping,corrigible-neutral-HHH,-0.3,4.1362
fig2_before_clipping,corrigible-neutral-HHH,-0.2,5.1638
fig2_before_clipping,corrigible-neutral-HHH,-0.1,6.1851
fig2_before_clipping,corrigible-neutral-HHH,-0.0,7.0263
fig2_before_clipping,corrigible-neutral-HHH,0.1,7.7538
fig2_before_clipping,corrigible-neutral-HHH,0.2,8.1851
fig2_before_clipping,corrigible-neutral-HHH,0.3,8.3725
fig2_before_clipping,corrigible-neutral-HHH,0.4,8.3863
fig2_before_clipping,corrigible-neutral-HHH,0.5,8.2476
fig2_before_clipping,corrigible-neutral-HHH,0.6,7.9375
fig2_before_clipping,corrigible-neutral-HHH,0.7,7.5137
fig2_before_clipping,corrigible-neutral-HHH,0.8,7.0801
fig2_before_clipping,corrigible-neutral-HHH,0.9,6.5838
fig2_before_clipping,corrigible-neutral-HHH,1.0,6.04
fig2_before_clipping,corrigible-neutral-HHH,1.1,5.5112
fig2_before_clipping,corrigible-neutral-HHH,1.2,5.06
fig2_before_clipping,corrigible-neutral-HHH,1.3,4.5925
fig2_before_clipping,corrigible-neutral-HHH,1.4,4.1126
fig2_before_clipping,corrigible-neutral-HHH,1.5,3.7001
fig2_before_clipping,corrigible-neutral-HHH,1.6,3.3063
fig2_before_clipping,corrigible-neutral-HHH,1.7,2.94
fig2_before_clipping,corrigible-neutral-HHH,1.8,2.6362
fig2_before_clipping,corrigible-neutral-HHH,1.9,2.3226
fig2_before_clipping,corrigible-neutral-HHH,2.0,2.0574
fig2_before_clipping,myopic-reward,-2.0,-0.8301
fig2_before_clipping,myopic-reward,-1.9,-0.8514
fig2_before_clipping,myopic-reward,-1.8,-0.8763
fig2_before_clipping,myopic-reward,-1.7,-0.8876
fig2_before_clipping,myopic-reward,-1.6,-0.8563
fig2_before_clipping,myopic-reward,-1.5,-0.8338
fig2_before_clipping,myopic-reward,-1.4,-0.8438
fig2_before_clipping,myopic-reward,-1.3,-0.8176
fig2_before_clipping,myopic-reward,-1.2,-0.7887
