estimator,alpha,beta,avg_score,percent_steered,order
parameterized,-0.5,-1.5,-0.300537109375,0.37,alpha_first
parameterized,-0.5,-1.0,-0.2149658203125,0.425,alpha_first
parameterized,-0.5,-0.5,0.324462890625,0.485,alpha_first
parameterized,-0.5,0.0,1.2177734375,0.57,alpha_first
parameterized,-0.5,0.5,2.068359375,0.69,alpha_first
parameterized,-0.5,1.0,2.43359375,0.75,alpha_first
parameterized,-0.5,1.5,2.373046875,0.785,alpha_first
parameterized,-0.5,2.0,1.974609375,0.765,alpha_first
orthogonal-parameterized,-0.25,-2.0,-0.1356201171875,0.35,alpha_first
orthogonal-parameterized,-0.25,-1.5,-0.150634765625,0.38,alpha_first
orthogonal-parameterized,-0.25,-1.0,-0.3125,0.38,alpha_first
orthogonal-parameterized,-0.25,-0.5,-0.1824951171875,0.42,alpha_first
orthogonal-parameterized,-0.25,0.0,0.363037109375,0.48,alpha_first
orthogonal-parameterized,-0.25,0.5,1.388671875,0.595,alpha_first
orthogonal-parameterized,-0.25,1.0,2.283203125,0.735,alpha_first
orthogonal-parameterized,-0.25,1.5,2.634765625,0.785,alpha_first
orthogonal-parameterized,-0.25,2.0,2.4765625,0.805,alpha_first
parameterized,-0.25,-2.0,-0.197509765625,0.375,alpha_first
parameterized,-0.25,-1.5,-0.32568359375,0.395,alpha_first
parameterized,-0.25,-1.0,-0.233154296875,0.43,alpha_first
parameterized,-0.25,-0.5,0.3369140625,0.47,alpha_first
parameterized,-0.25,0.0,1.2978515625,0.575,alpha_first
parameterized,-0.25,0.5,2.203125,0.72,alpha_first
parameterized,-0.25,1.0,2.615234375,0.79,alpha_first
parameterized,-0.25,1.5,2.478515625,0.825,alpha_first
parameterized,-0.25,2.0,2.029296875,0.755,alpha_first
orthogonal-parameterized,0.0,-2.0,-0.103759765625,0.39,alpha_first
orthogonal-parameterized,0.0,-1.5,-0.2431640625,0.385,alpha_first
orthogonal-parameterized,0.0,-1.0,-0.310546875,0.385,alpha_first
orthogonal-parameterized,0.0,-0.5,-0.0256195068359375,0.435,alpha_first
orthogonal-parameterized,0.0,0.0,0.85205078125,0.52,alpha_first
orthogonal-parameterized,0.0,0.5,1.9189453125,0.67,alpha_first
orthogonal-parameterized,0.0,1.0,2.599609375,0.78,alpha_first
orthogonal-parameterized,0.0,1.5,2.693359375,0.83,alpha_first
orthogonal-parameterized,0.0,2.0,2.275390625,0.78,alpha_first
parameterized,0.0,-2.0,-0.1781005859375,0.385,alpha_first
parameterized,0.0,-1.5,-0.336181640625,0.4,alpha_first
parameterized,0.0,-1.0,-0.26806640625,0.43,alpha_first
parameterized,0.0,-0.5,0.335693359375,0.475,alpha_first
parameterized,0.0,0.0,1.294921875,0.575,alpha_first
parameterized,0.0,0.5,2.310546875,0.725,alpha_first
parameterized,0.0,1.0,2.70703125,0.815,alpha_first
parameterized,0.0,1.5,2.501953125,0.815,alpha_first
parameterized,0.0,2.0,2.017578125,0.735,alpha_first
orthogonal-parameterized,0.25,-2.0,-0.1424560546875,0.395,alpha_first
orthogonal-parameterized,0.25,-1.5,-0.326171875,0.395,alpha_first
orthogonal-parameterized,0.25,-1.0,-0.28564453125,0.41,alpha_first
orthogonal-parameterized,0.25,-0.5,0.331787109375,0.47,alpha_first
orthogonal-parameterized,0.25,0.0,1.36328125,0.61,alpha_first
orthogonal-parameterized,0.25,0.5,2.376953125,0.745,alpha_first
orthogonal-parameterized,0.25,1.0,2.810546875,0.82,alpha_first
orthogonal-parameterized,0.25,1.5,2.564453125,0.8,alpha_first
orthogonal-parameterized,0.25,2.0,2.046875,0.735,alpha_first
parameterized,0.25,-2.0,-0.2255859375,0.385,alpha_first
parameterized,0.25,-1.5,-0.394287109375,0.39,alpha_first
parameterized,0.25,-1.0,-0.293701171875,0.41,alpha_first
parameterized,0.25,-0.5,0.315673828125,0.46,alpha_first
parameterized,0.25,0.0,1.3203125,0.595,alpha_first
parameterized,0.25,0.5,2.376953125,0.73,alpha_first
parameterized,0.25,1.0,2.7734375,0.83,alpha_first
parameterized,0.25,1.5,2.5546875,0.82,alpha_first
parameterized,0.25,2.0,2.033203125,0.75,alpha_first
orthogonal-parameterized,0.5,-2.0,-0.2880859375,0.42,alpha_first
orthogonal-parameterized,0.5,-1.5,-0.351318359375,0.405,alpha_first
orthogonal-parameterized,0.5,-1.0,0.0574951171875,0.435,alpha_first
orthogonal-parameterized,0.5,-0.5,0.98046875,0.555,alpha_first
orthogonal-parameterized,0.5,0.0,2.11328125,0.735,alpha_first
orthogonal-parameterized,0.5,0.5,2.8359375,0.83,alpha_first
orthogonal-parameterized,0.5,1.0,2.71484375,0.82,alpha_first
orthogonal-parameterized,0.5,1.5,2.2109375,0.755,alpha_first
orthogonal-parameterized,0.5,2.0,1.6396484375,0.65,alpha_first
parameterized,0.5,-2.0,-0.23876953125,0.405,alpha_first
parameterized,0.5,-1.5,-0.3505859375,0.405,alpha_first
parameterized,0.5,-1.0,-0.2481689453125,0.41,alpha_first
parameterized,0.5,-0.5,0.41552734375,0.47,alpha_first
parameterized,0.5,0.0,1.365234375,0.62,alpha_first
parameterized,0.5,0.5,2.4453125,0.765,alpha_first
parameterized,0.5,1.0,2.814453125,0.845,alpha_first
parameterized,0.5,1.5,2.501953125,0.8,alpha_first
parameterized,0.5,2.0,1.9375,0.71,alpha_first
orthogonal-parameterized,0.75,-2.0,-0.316162109375,0.41,alpha_first
orthogonal-parameterized,0.75,-1.5,0.003749847412109375,0.435,alpha_first
orthogonal-parameterized,0.75,-1.0,0.72021484375,0.52,alpha_first
orthogonal-parameterized,0.75,-0.5,1.7900390625,0.73,alpha_first
orthogonal-parameterized,0.75,0.0,2.734375,0.84,alpha_first
orthogonal-parameterized,0.75,0.5,2.814453125,0.83,alpha_first
orthogonal-parameterized,0.75,1.0,2.298828125,0.755,alpha_first
orthogonal-parameterized,0.75,1.5,1.75,0.67,alpha_first
orthogonal-parameterized,0.75,2.0,1.2685546875,0.56,alpha_first
parameterized,0.75,-2.0,-0.2237548828125,0.415,alpha_first
parameterized,0.75,-1.5,-0.2900390625,0.435,alpha_first
parameterized,0.75,-1.0,-0.1287841796875,0.42,alpha_first
parameterized,0.75,-0.5,0.4736328125,0.505,alpha_first
parameterized,0.75,0.0,1.42578125,0.68,alpha_first
parameterized,0.75,0.5,2.466796875,0.785,alpha_first
parameterized,0.75,1.0,2.76953125,0.84,alpha_first
parameterized,0.75,1.5,2.3828125,0.78,alpha_first
parameterized,0.75,2.0,1.8310546875,0.67,alpha_first
orthogonal-parameterized,1.0,-2.0,-0.1837158203125,0.425,alpha_first
orthogonal-parameterized,1.0,-1.5,0.331787109375,0.475,alpha_first
orthogonal-parameterized,1.0,-1.0,1.2099609375,0.64,alpha_first
orthogonal-parameterized,1.0,-0.5,2.2734375,0.785,alpha_first
orthogonal-parameterized,1.0,0.0,2.8203125,0.83,alpha_first
orthogonal-parameterized,1.0,0.5,2.53125,0.8,alpha_first
