estimator,alpha,beta,avg_score,percent_steered,order
orthogonal-parameterized,-0.25,-0.5,0.1387939453125,0.525,alpha_first
orthogonal-parameterized,-0.25,0.0,0.97998046875,0.555,alpha_first
orthogonal-parameterized,-0.25,0.5,1.8154296875,0.625,alpha_first
orthogonal-parameterized,-0.25,1.0,2.84765625,0.74,alpha_first
orthogonal-parameterized,-0.25,1.5,3.814453125,0.79,alpha_first
orthogonal-parameterized,-0.25,2.0,4.08203125,0.785,alpha_first
parameterized,-0.25,-2.0,-0.253662109375,0.455,alpha_first
parameterized,-0.25,-1.5,-0.08502197265625,0.485,alpha_first
parameterized,-0.25,-1.0,0.3798828125,0.525,alpha_first
parameterized,-0.25,-0.5,1.2314453125,0.58,alpha_first
parameterized,-0.25,0.0,2.091796875,0.645,alpha_first
parameterized,-0.25,0.5,3.078125,0.74,alpha_first
parameterized,-0.25,1.0,3.828125,0.79,alpha_first
parameterized,-0.25,1.5,3.84765625,0.785,alpha_first
parameterized,-0.25,2.0,3.33984375,0.755,alpha_first
orthogonal-parameterized,0.0,-2.0,-0.36376953125,0.425,alpha_first
orthogonal-parameterized,0.0,-1.5,-0.304931640625,0.47,alpha_first
orthogonal-parameterized,0.0,-1.0,-0.092529296875,0.505,alpha_first
orthogonal-parameterized,0.0,-0.5,0.638671875,0.545,alpha_first
orthogonal-parameterized,0.0,0.0,1.5087890625,0.59,alpha_first
orthogonal-parameterized,0.0,0.5,2.439453125,0.695,alpha_first
orthogonal-parameterized,0.0,1.0,3.568359375,0.76,alpha_first
orthogonal-parameterized,0.0,1.5,4.21484375,0.795,alpha_first
orthogonal-parameterized,0.0,2.0,4.01171875,0.78,alpha_first
parameterized,0.0,-2.0,-0.28125,0.48,alpha_first
parameterized,0.0,-1.5,-0.07000732421875,0.495,alpha_first
parameterized,0.0,-1.0,0.43115234375,0.54,alpha_first
parameterized,0.0,-0.5,1.2861328125,0.575,alpha_first
parameterized,0.0,0.0,2.13671875,0.645,alpha_first
parameterized,0.0,0.5,3.189453125,0.75,alpha_first
parameterized,0.0,1.0,3.982421875,0.79,alpha_first
parameterized,0.0,1.5,3.96484375,0.78,alpha_first
parameterized,0.0,2.0,3.375,0.765,alpha_first
orthogonal-parameterized,0.25,-2.0,-0.35498046875,0.455,alpha_first
orthogonal-parameterized,0.25,-1.5,-0.2012939453125,0.49,alpha_first
orthogonal-parameterized,0.25,-1.0,0.26123046875,0.52,alpha_first
orthogonal-parameterized,0.25,-0.5,1.2197265625,0.56,alpha_first
orthogonal-parameterized,0.25,0.0,2.078125,0.645,alpha_first
